subset,protocol,method,seed,metric,variable,value,metrics_path,predictions_path,config_path
multi-partial,shared_planets,gplfr,0,relative_acc,cloud_fraction,1.3066248893737793,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,0,relative_acc,u,3.9180657863616943,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,0,relative_acc,v,1.389121651649475,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,0,relative_acc,asr,1.0049749612808228,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,0,relative_acc,olr,1.1821081638336182,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,0,relative_energy_score,surface_temperature,0.6041377186775208,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,0,relative_energy_score,temperature,0.5702409744262695,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,0,relative_energy_score,specific_humidity_dex,0.5117577910423279,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,0,relative_energy_score,cloud_fraction,0.23193320631980896,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,0,relative_energy_score,u,0.5697969198226929,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,0,relative_energy_score,v,0.5532169938087463,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,0,relative_energy_score,asr,0.4818992018699646,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,0,relative_energy_score,olr,0.4792366921901703,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,0,spread_skill_ratio,surface_temperature,0.8709270358085632,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,0,spread_skill_ratio,temperature,0.9403203785419464,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,0,spread_skill_ratio,specific_humidity_dex,0.8521916568279266,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,0,spread_skill_ratio,cloud_fraction,1.0253901481628418,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,0,spread_skill_ratio,u,0.5985708683729172,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,0,spread_skill_ratio,v,0.7512126445770264,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,0,spread_skill_ratio,asr,0.9735165238380432,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,0,spread_skill_ratio,olr,0.8194706439971924,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,knn,0,relative_rmse,surface_temperature,1.419761061668396,results/models/multi-partial/knn/metrics_shared_planets.json,results/models/multi-partial/knn/predictions_shared_planets.npz,results/models/multi-partial/knn/config.json
multi-partial,shared_planets,knn,0,relative_rmse,temperature,1.352992296218872,results/models/multi-partial/knn/metrics_shared_planets.json,results/models/multi-partial/knn/predictions_shared_planets.npz,results/models/multi-partial/knn/config.json
multi-partial,shared_planets,knn,0,relative_rmse,specific_humidity_dex,1.3126972913742065,results/models/multi-partial/knn/metrics_shared_planets.json,results/models/multi-partial/knn/predictions_shared_planets.npz,results/models/multi-partial/knn/config.json
multi-partial,shared_planets,knn,0,relative_rmse,cloud_fraction,0.472541868686676,results/models/multi-partial/knn/metrics_shared_planets.json,results/models/multi-partial/knn/predictions_shared_planets.npz,results/models/multi-partial/knn/config.json
multi-partial,shared_planets,knn,0,relative_rmse,u,0.8275867700576782,results/models/multi-partial/knn/metrics_shared_planets.json,results/models/multi-partial/knn/predictions_shared_planets.npz,results/models/multi-partial/knn/config.json
multi-partial,shared_planets,knn,0,relative_rmse,v,0.8438405394554138,results/models/multi-partial/knn/metrics_shared_planets.json,results/models/multi-partial/knn/predictions_shared_planets.npz,results/models/multi-partial/knn/config.json
multi-partial,shared_planets,knn,0,relative_rmse,asr,1.0558263063430786,results/models/multi-partial/knn/metrics_shared_planets.json,results/models/multi-partial/knn/predictions_shared_planets.npz,results/models/multi-partial/knn/config.json
multi-partial,shared_planets,knn,0,relative_rmse,olr,1.1375106573104858,results/models/multi-partial/knn/metrics_shared_planets.json,results/models/multi-partial/knn/predictions_shared_planets.npz,results/models/multi-partial/knn/config.json
multi-partial,shared_planets,knn,0,relative_acc,surface_temperature,1.0532327890396118,results/models/multi-partial/knn/metrics_shared_planets.json,results/models/multi-partial/knn/predictions_shared_planets.npz,results/models/multi-partial/knn/config.json
multi-partial,shared_planets,knn,0,relative_acc,temperature,6.497269153594971,results/models/multi-partial/knn/metrics_shared_planets.json,results/models/multi-partial/knn/predictions_shared_planets.npz,results/models/multi-partial/knn/config.json
multi-partial,shared_planets,knn,0,relative_acc,specific_humidity_dex,1.283758521080017,results/models/multi-partial/knn/metrics_shared_planets.json,results/models/multi-partial/knn/predictions_shared_planets.npz,results/models/multi-partial/knn/config.json
multi-partial,shared_planets,knn,0,relative_acc,cloud_fraction,1.2938873767852783,results/models/multi-partial/knn/metrics_shared_planets.json,results/models/multi-partial/knn/predictions_shared_planets.npz,results/models/multi-partial/knn/config.json
multi-partial,shared_planets,knn,0,relative_acc,u,4.046194553375244,results/models/multi-partial/knn/metrics_shared_planets.json,results/models/multi-partial/knn/predictions_shared_planets.npz,results/models/multi-partial/knn/config.json
multi-partial,shared_planets,knn,0,relative_acc,v,1.328093409538269,results/models/multi-partial/knn/metrics_shared_planets.json,results/models/multi-partial/knn/predictions_shared_planets.npz,results/models/multi-partial/knn/config.json
multi-partial,shared_planets,knn,0,relative_acc,asr,1.0035148859024048,results/models/multi-partial/knn/metrics_shared_planets.json,results/models/multi-partial/knn/predictions_shared_planets.npz,results/models/multi-partial/knn/config.json
multi-partial,shared_planets,knn,0,relative_acc,olr,1.0305497646331787,results/models/multi-partial/knn/metrics_shared_planets.json,results/models/multi-partial/knn/predictions_shared_planets.npz,results/models/multi-partial/knn/config.json
multi-partial,shared_planets,pca_mlp,0,relative_rmse,surface_temperature,0.91511070728302,results/models/multi-partial/pca_mlp/metrics_shared_planets.json,results/models/multi-partial/pca_mlp/predictions_shared_planets.npz,results/models/multi-partial/pca_mlp/config.json
multi-partial,shared_planets,pca_mlp,0,relative_rmse,temperature,0.8045264482498169,results/models/multi-partial/pca_mlp/metrics_shared_planets.json,results/models/multi-partial/pca_mlp/predictions_shared_planets.npz,results/models/multi-partial/pca_mlp/config.json
multi-partial,shared_planets,pca_mlp,0,relative_rmse,specific_humidity_dex,0.7516342401504517,results/models/multi-partial/pca_mlp/metrics_shared_planets.json,results/models/multi-partial/pca_mlp/predictions_shared_planets.npz,results/models/multi-partial/pca_mlp/config.json
multi-partial,shared_planets,pca_mlp,0,relative_rmse,cloud_fraction,0.414682000875473,results/models/multi-partial/pca_mlp/metrics_shared_planets.json,results/models/multi-partial/pca_mlp/predictions_shared_planets.npz,results/models/multi-partial/pca_mlp/config.json
multi-partial,shared_planets,pca_mlp,0,relative_rmse,u,0.920100748538971,results/models/multi-partial/pca_mlp/metrics_shared_planets.json,results/models/multi-partial/pca_mlp/predictions_shared_planets.npz,results/models/multi-partial/pca_mlp/config.json
multi-partial,shared_planets,pca_mlp,0,relative_rmse,v,0.9311780333518982,results/models/multi-partial/pca_mlp/metrics_shared_planets.json,results/models/multi-partial/pca_mlp/predictions_shared_planets.npz,results/models/multi-partial/pca_mlp/config.json
multi-partial,shared_planets,pca_mlp,0,relative_rmse,asr,0.9008312821388245,results/models/multi-partial/pca_mlp/metrics_shared_planets.json,results/models/multi-partial/pca_mlp/predictions_shared_planets.npz,results/models/multi-partial/pca_mlp/config.json
multi-partial,shared_planets,pca_mlp,0,relative_rmse,olr,0.7205079197883606,results/models/multi-partial/pca_mlp/metrics_shared_planets.json,results/models/multi-partial/pca_mlp/predictions_shared_planets.npz,results/models/multi-partial/pca_mlp/config.json
multi-partial,shared_planets,pca_mlp,0,relative_acc,surface_temperature,1.0341389179229736,results/models/multi-partial/pca_mlp/metrics_shared_planets.json,results/models/multi-partial/pca_mlp/predictions_shared_planets.npz,results/models/multi-partial/pca_mlp/config.json
multi-partial,shared_planets,pca_mlp,0,relative_acc,temperature,4.952070236206055,results/models/multi-partial/pca_mlp/metrics_shared_planets.json,results/models/multi-partial/pca_mlp/predictions_shared_planets.npz,results/models/multi-partial/pca_mlp/config.json
multi-partial,shared_planets,pca_mlp,0,relative_acc,specific_humidity_dex,1.2495918273925781,results/models/multi-partial/pca_mlp/metrics_shared_planets.json,results/models/multi-partial/pca_mlp/predictions_shared_planets.npz,results/models/multi-partial/pca_mlp/config.json
